Time_s,Speakers,Headphones
0.0,1853.0,1813.0
0.1,1850.0,1808.0
0.2,1843.0,1802.0
0.3,1840.0,1798.0
0.4,1843.0,1797.0
0.5,1843.0,1790.0
0.6,1844.0,1785.0
0.7,1844.0,1788.0
0.8,1848.0,1792.0
0.9,1850.0,1791.0
1.0,1852.0,1789.0
1.1,1858.0,1787.0
1.2,1867.0,1785.0
1.3,1874.0,1783.0
1.4,1879.0,1788.0
1.5,1888.0,1789.0
1.6,1896.0,1789.0
1.7,1900.0,1789.0
1.8,1905.0,1786.0
1.9,1911.0,1783.0
2.0,1912.0,1780.0
2.1,1911.0,1783.0
2.2,1906.0,1781.0
2.3,1900.0,1782.0
2.4,1893.0,1782.0
2.5,1885.0,1786.0
2.6,1882.0,1787.0
2.7,1878.0,1794.0
2.8,1870.0,1804.0
2.9,1864.0,1810.0
3.0,1859.0,1817.0
3.1,1854.0,1827.0
3.2,1850.0,1832.0
3.3,1850.0,1836.0
3.4,1852.0,1841.0
3.5,1850.0,1849.0
3.6,1848.0,1849.0
3.7,1847.0,1851.0
3.8,1845.0,1848.0
3.9,1844.0,1842.0
4.0,1843.0,1832.0
4.1,1846.0,1821.0
4.2,1842.0,1814.0
4.3,1845.0,1803.0
4.4,1848.0,1796.0
4.5,1853.0,1792.0
4.6,1857.0,1789.0
4.7,1865.0,1790.0
4.8,1878.0,1794.0
4.9,1889.0,1792.0
5.0,1897.0,1788.0
5.1,1904.0,1790.0
5.2,1909.0,1791.0
5.3,1912.0,1789.0
5.4,1909.0,1793.0
5.5,1908.0,1796.0
5.6,1903.0,1792.0
5.7,1895.0,1793.0
5.8,1888.0,1794.0
5.9,1881.0,1789.0
6.0,1873.0,1788.0
6.1,1861.0,1792.0
6.2,1855.0,1788.0
6.3,1852.0,1784.0
6.4,1848.0,1785.0
6.5,1845.0,1777.0
6.6,1844.0,1774.0
6.7,1841.0,1780.0
6.8,1836.0,1789.0
6.9,1837.0,1794.0
7.0,1841.0,1800.0
7.1,1841.0,1806.0
7.2,1839.0,1814.0
7.3,1839.0,1822.0
7.4,1838.0,1828.0
7.5,1836.0,1834.0
7.6,1836.0,1838.0
7.7,1839.0,1838.0
7.8,1837.0,1839.0
7.9,1837.0,1838.0
8.0,1837.0,1836.0
8.1,1841.0,1830.0
8.2,1844.0,1821.0
8.3,1851.0,1810.0
8.4,1859.0,1803.0
8.5,1869.0,1799.0
8.6,1878.0,1790.0
8.7,1888.0,1788.0
8.8,1896.0,1790.0
8.9,1901.0,1790.0
9.0,1905.0,1787.0
9.1,1909.0,1785.0
9.2,1908.0,1784.0
9.3,1902.0,1783.0
9.4,1894.0,1780.0
9.5,1888.0,1783.0
9.6,1880.0,1785.0
9.7,1872.0,1783.0
9.8,1869.0,1780.0
9.9,1865.0,1779.0
10.0,1862.0,1779.0
10.1,1858.0,1778.0
10.2,1854.0,1780.0
10.3,1851.0,1783.0
10.4,1848.0,1783.0
10.5,1848.0,1788.0
10.6,1847.0,1793.0
10.7,1844.0,1800.0
10.8,1839.0,1808.0
10.9,1837.0,1817.0
11.0,1836.0,1823.0
11.1,1831.0,1831.0
11.2,1832.0,1834.0
11.3,1836.0,1838.0
11.4,1841.0,1840.0
11.5,1840.0,1837.0
11.6,1842.0,1831.0
11.7,1841.0,1824.0
11.8,1848.0,1816.0
11.9,1856.0,1808.0
12.0,1864.0,1799.0
12.1,1874.0,1792.0
12.2,1884.0,1790.0
12.3,1890.0,1789.0
12.4,1903.0,1785.0
12.5,1909.0,1784.0
12.6,1913.0,1781.0
12.7,1928.0,1778.0
12.8,1938.0,1779.0
12.9,1939.0,1780.0
13.0,1946.0,1779.0
13.1,1956.0,1780.0
13.2,1956.0,1779.0
13.3,1963.0,1773.0
13.4,1969.0,1770.0
13.5,1970.0,1772.0
13.6,1971.0,1769.0
13.7,1968.0,1769.0
13.8,1961.0,1772.0
13.9,1961.0,1777.0
14.0,1960.0,1781.0
14.1,1955.0,1788.0
14.2,1951.0,1798.0
14.3,1949.0,1805.0
14.4,1945.0,1812.0
14.5,1936.0,1819.0
14.6,1928.0,1821.0
14.7,1922.0,1823.0
14.8,1918.0,1826.0
14.9,1908.0,1830.0
15.0,1900.0,1827.0
15.1,1892.0,1822.0
15.2,1881.0,1818.0
15.3,1874.0,1811.0
15.4,1873.0,1804.0
15.5,1870.0,1799.0
15.6,1865.0,1797.0
15.7,1862.0,1793.0
15.8,1862.0,1792.0
15.9,1857.0,1790.0
16.0,1856.0,1786.0
16.1,1856.0,1782.0
16.2,1854.0,1780.0
16.3,1854.0,1780.0
16.4,1853.0,1780.0
16.5,1849.0,1781.0
16.6,1845.0,1781.0
16.7,1840.0,1780.0
16.8,1840.0,1776.0
16.9,1841.0,1776.0
17.0,1842.0,1779.0
17.1,1842.0,1779.0
